printed from child process 2962
Date		Store ID	Regester #	Sales Amount	
19/9/2016	2		4		324.15
16/9/2016	1		6		131.57
8/12/2016	1		5		585.19
30/1/2016	2		3		740.25
30/11/2016	1		2		405.05
21/2/2016	2		5		563.43
23/2/2016	1		4		741.62
2/3/2016	2		3		863.27
18/12/2016	2		6		679.22
22/3/2016	2		5		29.94
19/10/2016	1		4		782.24
17/2/2016	2		3		529.79
22/7/2016	1		4		328.83
4/12/2016	2		6		594.44
2/9/2016	1		4		159.94
20/6/2016	1		1		848.42
6/10/2016	1		1		704.43
14/12/2016	2		4		275.80
18/6/2016	1		1		369.79
24/10/2016	1		2		44.80
29/9/2016	2		4		547.20
26/7/2016	1		1		805.95
4/11/2016	1		5		100.52
19/3/2016	2		4		225.79
30/12/2016	1		2		218.02
1/1/2016	1		2		671.69
15/11/2016	1		1		518.25
20/2/2016	2		1		633.76
22/4/2016	2		5		145.99
15/1/2016	1		2		546.12
20/10/2016	2		3		958.83
7/1/2016	2		1		444.08
11/11/2016	1		5		986.77
12/10/2016	1		4		636.51
8/8/2016	2		6		803.41
23/12/2016	2		6		60.24
19/11/2016	1		1		54.88
19/1/2016	2		5		362.75
1/2/2016	1		4		75.18
24/3/2016	2		1		542.81
9/2/2016	2		1		493.91
30/7/2016	1		5		766.48
26/6/2016	1		2		818.32
18/7/2016	2		4		915.16
9/3/2016	1		5		851.78
8/4/2016	2		5		723.96
11/3/2016	1		4		319.09
7/9/2016	1		3		285.94
30/4/2016	2		3		766.58
24/8/2016	1		3		792.25
6/3/2016	1		3		233.68
14/6/2016	2		5		263.04
19/2/2016	2		2		569.75
28/6/2016	1		5		421.12
2/9/2016	2		4		913.72
29/7/2016	1		6		306.63
6/1/2016	1		3		500.58
22/8/2016	2		2		651.19
7/6/2016	1		5		725.64
19/5/2016	2		1		553.23
18/8/2016	2		4		472.76
26/8/2016	1		3		621.05
15/5/2016	1		6		526.21
10/8/2016	1		6		157.62
14/4/2016	2		6		72.69
5/10/2016	2		6		432.36
26/8/2016	1		5		948.74
19/5/2016	1		4		460.37
27/11/2016	2		3		688.60
13/4/2016	2		3		629.61
14/10/2016	1		3		887.71
30/3/2016	1		5		595.87
24/6/2016	2		5		522.24
25/5/2016	1		5		229.22
3/10/2016	2		2		359.07
21/4/2016	1		6		304.44
6/11/2016	1		5		181.33
27/11/2016	2		6		186.20
20/5/2016	1		5		188.81
17/4/2016	2		5		669.55
4/6/2016	1		1		888.52
28/6/2016	1		6		8.68
13/7/2016	2		5		873.01
8/10/2016	1		3		417.09
14/10/2016	2		6		312.34
30/11/2016	1		3		325.96
18/10/2016	2		4		809.39
24/7/2016	1		1		953.04
3/4/2016	1		6		939.50
27/1/2016	2		2		480.61
1/10/2016	1		6		799.85
7/4/2016	2		6		438.29
4/9/2016	1		4		8.66
26/5/2016	2		4		396.49
3/3/2016	1		4		682.77
6/3/2016	2		2		210.65
22/5/2016	1		1		609.88
14/10/2016	1		1		593.35
22/4/2016	1		1		297.59
22/1/2016	2		6		534.95
23/10/2016	2		2		29.00
15/5/2016	1		5		863.33
14/5/2016	2		2		945.32
20/1/2016	2		3		600.80
17/6/2016	1		2		330.97
15/12/2016	2		2		310.99
20/4/2016	1		1		372.19
4/6/2016	2		6		598.49
27/5/2016	1		6		690.49
5/9/2016	1		4		925.08
20/1/2016	2		6		959.96
1/4/2016	1		6		68.51
27/8/2016	2		4		260.42
17/3/2016	1		1		528.94
2/5/2016	2		1		660.74
4/1/2016	2		6		290.39
24/7/2016	1		3		309.40
3/6/2016	2		3		748.46
5/2/2016	1		5		596.21
24/11/2016	2		5		448.41
23/6/2016	1		5		520.67
20/4/2016	2		2		491.29
22/5/2016	1		2		814.38
3/10/2016	2		1		778.61
22/8/2016	1		4		772.83
7/7/2016	1		3		539.09
27/5/2016	2		4		612.61
5/5/2016	1		3		925.98
23/1/2016	1		1		184.77
14/7/2016	2		3		910.18
17/9/2016	2		3		274.20
9/7/2016	2		6		85.96
17/5/2016	1		2		877.75
24/11/2016	1		1		515.87
14/11/2016	2		1		203.80
14/7/2016	1		6		909.60
1/9/2016	2		2		640.83
21/10/2016	2		3		989.63
30/5/2016	1		2		571.59
16/10/2016	1		2		820.69
28/7/2016	2		2		932.95
13/9/2016	1		5		31.83
11/5/2016	2		6		456.66
14/11/2016	1		3		110.44
2/8/2016	1		3		191.25
18/9/2016	2		5		453.87
14/1/2016	1		2		835.18
6/12/2016	2		4		620.11
1/7/2016	2		2		414.68
14/3/2016	1		6		791.21
28/10/2016	2		4		298.52
13/2/2016	1		1		342.00
14/9/2016	1		1		339.73
12/7/2016	2		1		45.60
22/1/2016	1		3		452.72
4/10/2016	1		5		493.97
21/5/2016	2		1		206.28
27/9/2016	2		4		974.67
20/8/2016	2		3		178.95
4/11/2016	2		6		274.53
24/9/2016	1		4		681.62
29/4/2016	2		1		750.04
28/4/2016	1		5		577.69
13/6/2016	2		4		518.85
26/9/2016	1		5		3.87
16/11/2016	2		4		351.53
3/1/2016	1		6		546.70
22/10/2016	2		4		277.49
28/11/2016	1		6		217.16
11/11/2016	2		5		896.94
8/1/2016	2		1		858.55
6/2/2016	1		4		635.65
25/4/2016	2		1		316.34
1/8/2016	1		4		478.50
12/5/2016	1		2		227.85
19/9/2016	2		3		780.01
24/9/2016	1		3		608.97
5/10/2016	2		2		564.17
2/9/2016	1		4		448.61
22/3/2016	2		1		932.94
28/7/2016	2		3		321.04
7/1/2016	1		6		221.97
14/12/2016	2		5		896.49
17/12/2016	1		1		852.18
19/11/2016	2		2		488.20
25/5/2016	1		6		748.80
4/9/2016	2		1		978.74
20/4/2016	2		5		496.03
13/6/2016	1		1		226.79
10/1/2016	2		1		309.40
30/8/2016	1		2		72.46
29/11/2016	2		5		410.42
6/8/2016	2		6		163.73
26/5/2016	1		6		996.38
1/11/2016	1		4		930.38
17/9/2016	2		5		128.27
6/2/2016	1		2		740.31
2/5/2016	1		2		462.13
18/12/2016	2		6		508.61
8/5/2016	1		6		901.35
4/5/2016	2		5		654.39
15/8/2016	1		6		481.07
21/4/2016	1		3		733.97
26/6/2016	2		4		969.41
17/12/2016	1		3		710.75
27/6/2016	2		5		87.62
29/4/2016	2		1		273.45
16/7/2016	1		6		477.93
27/9/2016	2		6		561.64
25/4/2016	1		2		826.48
11/6/2016	2		4		389.42
20/11/2016	2		1		271.36
26/2/2016	2		6		108.00
12/9/2016	1		6		992.51
10/5/2016	1		2		892.66
24/1/2016	2		4		653.27
25/9/2016	1		2		395.65
15/9/2016	2		5		556.64
19/12/2016	1		5		530.55
14/9/2016	2		6		342.51
13/8/2016	1		1		791.74
19/5/2016	2		2		372.31
10/11/2016	1		1		347.74
23/11/2016	2		1		166.45
28/2/2016	1		2		700.27
23/8/2016	1		2		597.84
18/3/2016	2		2		908.07
16/5/2016	1		6		614.49
2/6/2016	2		5		283.56
8/10/2016	1		4		253.55
22/2/2016	2		3		35.29
26/2/2016	1		1		419.51
7/12/2016	2		6		945.54
25/4/2016	2		3		715.23
11/5/2016	2		6		788.93
13/8/2016	1		5		465.00
15/6/2016	1		3		48.99
8/10/2016	2		5		828.52
14/1/2016	2		6		105.13
25/12/2016	1		4		246.60
9/1/2016	1		2		454.22
30/1/2016	2		3		485.59
2/10/2016	2		6		727.41
7/5/2016	1		4		59.67
8/4/2016	2		2		816.60
8/7/2016	1		1		489.96
22/12/2016	1		2		811.29
1/8/2016	2		5		387.43
11/8/2016	1		1		639.74
19/11/2016	2		5		11.27
30/4/2016	1		2		508.17
21/7/2016	1		2		251.01
15/10/2016	1		1		696.60
3/1/2016	2		2		573.88
5/12/2016	1		6		899.45
8/4/2016	1		4		968.64
10/3/2016	2		3		665.34
28/10/2016	1		5		943.88
18/12/2016	2		5		571.33
2/12/2016	2		6		257.99
22/9/2016	1		3		615.17
28/8/2016	2		3		672.28
2/9/2016	1		1		228.11
29/11/2016	2		1		943.32
8/4/2016	2		4		966.34
21/12/2016	1		4		218.54
1/9/2016	2		3		132.40
2/12/2016	1		4		800.06
8/3/2016	2		2		964.68
15/5/2016	1		6		923.21
6/3/2016	2		4		904.16
12/4/2016	2		6		990.71
27/1/2016	1		4		528.52
25/6/2016	2		3		797.15
11/10/2016	2		1		70.84
26/1/2016	1		6		483.51
18/5/2016	1		4		826.71
28/8/2016	2		3		329.48
10/4/2016	1		3		481.96
15/8/2016	1		6		80.07
10/2/2016	2		4		981.18
7/4/2016	1		5		798.36
24/11/2016	2		3		298.35
12/3/2016	1		4		614.67
22/6/2016	2		1		458.91
18/12/2016	1		4		484.81
12/5/2016	2		4		976.92
12/8/2016	1		4		873.77
8/2/2016	1		2		750.71
17/1/2016	2		4		672.68
25/3/2016	1		4		267.45
26/10/2016	2		4		846.61
10/8/2016	1		3		36.37
15/10/2016	2		3		823.58
20/6/2016	1		2		665.92
2/1/2016	2		4		860.89
28/9/2016	1		3		867.08
1/6/2016	2		3		453.83
13/7/2016	2		1		419.28
4/7/2016	1		2		948.97
12/5/2016	2		3		924.78
2/12/2016	2		6		193.95
16/6/2016	1		5		631.29
28/12/2016	2		1		93.04
20/8/2016	2		1		558.62
3/9/2016	1		2		149.15
29/2/2016	2		4		788.42
9/7/2016	2		5		458.88
23/3/2016	1		6		406.07
25/5/2016	2		6		573.11
22/12/2016	2		1		961.61
14/11/2016	1		4		944.90
25/5/2016	1		2		908.00
7/5/2016	2		4		627.20
4/12/2016	2		4		469.00
9/1/2016	1		3		815.33
14/8/2016	2		4		603.60
3/7/2016	1		2		102.63
27/10/2016	2		6		241.00
9/3/2016	1		4		20.50
29/8/2016	2		3		607.81
20/7/2016	1		5		671.85
4/10/2016	2		5		75.20
20/1/2016	1		6		527.96
6/4/2016	1		2		237.01
19/6/2016	2		5		791.35
30/5/2016	1		3		726.88
15/4/2016	2		3		547.63
4/3/2016	1		2		359.43
23/4/2016	2		2		521.47
11/11/2016	1		2		381.28
1/9/2016	2		5		126.06
8/9/2016	1		1		998.01
1/11/2016	2		6		6.93
14/5/2016	1		6		210.84
6/12/2016	2		2		667.32
13/4/2016	1		3		589.59
26/6/2016	1		1		788.22
27/11/2016	2		5		986.91
1/8/2016	2		5		257.42
20/5/2016	1		1		88.59
1/10/2016	2		3		776.36
23/12/2016	1		6		860.42
16/1/2016	1		1		237.15
19/1/2016	2		3		978.35
13/3/2016	2		4		260.16
24/8/2016	1		3		19.22
30/10/2016	2		4		919.26
30/7/2016	1		3		138.87
2/12/2016	2		5		88.03
15/1/2016	1		5		182.03
4/10/2016	2		6		864.53
21/10/2016	2		2		936.26
29/9/2016	1		2		995.99
23/11/2016	1		1		367.42
1/12/2016	1		5		71.25
20/5/2016	2		3		663.48
6/8/2016	2		2		423.74
26/3/2016	1		2		825.33
18/9/2016	2		2		438.72
28/4/2016	1		1		222.41
6/2/2016	1		5		878.48
3/3/2016	2		2		837.56
19/3/2016	1		4		482.34
13/1/2016	2		1		524.06
6/2/2016	1		2		846.48
4/2/2016	1		4		255.86
11/7/2016	2		1		141.42
29/9/2016	2		3		99.01
7/4/2016	1		6		951.17
22/2/2016	2		4		702.91
27/12/2016	1		3		723.49
21/11/2016	2		6		538.99
17/2/2016	1		5		905.33
4/8/2016	1		2		629.93
30/4/2016	2		3		409.81
18/1/2016	2		1		68.75
28/3/2016	1		6		23.89
10/6/2016	2		2		75.10
2/12/2016	1		4		101.44
11/1/2016	2		4		510.01
19/9/2016	2		2		275.88
13/10/2016	1		6		870.05
18/8/2016	2		1		7.92
4/7/2016	2		4		230.13
12/11/2016	1		5		48.42
24/5/2016	2		6		977.88
28/7/2016	1		1		546.98
6/10/2016	2		4		68.31
26/2/2016	2		3		522.36
5/1/2016	1		2		452.47
19/9/2016	2		6		700.34
11/11/2016	2		5		54.72
10/12/2016	1		4		78.73
16/1/2016	1		2		449.51
9/5/2016	2		2		662.02
18/5/2016	1		2		301.37
30/6/2016	2		6		464.38
30/12/2016	1		1		303.93
27/6/2016	2		1		790.06
28/8/2016	1		2		420.61
8/4/2016	2		3		737.01
4/1/2016	2		3		370.49
24/8/2016	1		2		529.60
4/3/2016	2		4		648.49
21/3/2016	1		6		591.96
28/4/2016	2		1		848.21
17/11/2016	2		4		912.67
19/8/2016	1		6		26.54
14/7/2016	2		2		112.80
10/11/2016	2		4		185.49
14/1/2016	1		1		700.75
6/9/2016	2		1		579.50
23/1/2016	1		3		115.94
2/1/2016	2		1		633.37
7/5/2016	2		5		223.48
22/10/2016	1		2		940.61
24/7/2016	2		3		414.73
16/2/2016	1		4		654.27
20/7/2016	2		4		752.30
27/2/2016	1		3		396.52
19/10/2016	1		3		814.17
20/9/2016	2		6		180.54
18/1/2016	2		1		491.62
22/8/2016	1		3		98.80
18/6/2016	2		2		598.26
18/12/2016	1		6		1.74
4/1/2016	2		3		326.58
22/3/2016	1		6		159.16
30/6/2016	2		1		78.66
21/1/2016	1		5		89.52
6/3/2016	2		6		306.79
18/9/2016	1		3		68.22
2/12/2016	2		2		430.95
11/7/2016	1		3		912.46
29/2/2016	1		5		248.29
2/12/2016	2		3		273.37
23/9/2016	2		2		643.48
5/7/2016	2		2		596.43
9/7/2016	1		6		837.55
12/7/2016	2		6		725.78
5/11/2016	1		4		728.52
8/3/2016	1		5		491.44
16/4/2016	2		1		989.88
12/8/2016	1		6		741.28
21/2/2016	2		3		679.86
10/8/2016	1		4		347.82
7/8/2016	2		3		431.54
8/10/2016	1		6		961.99
16/2/2016	1		3		9.08
20/2/2016	1		4		856.01
27/1/2016	2		1		289.12
4/3/2016	1		6		715.99
6/8/2016	1		5		63.32
8/2/2016	2		6		159.96
15/8/2016	2		1		426.74
9/8/2016	2		2		420.53
20/8/2016	2		1		909.51
7/10/2016	1		1		431.27
4/3/2016	2		4		760.38
4/1/2016	1		5		723.39
22/10/2016	2		4		644.40
19/10/2016	1		1		907.34
18/1/2016	2		1		203.45
11/10/2016	2		4		620.12
12/12/2016	1		4		946.41
18/2/2016	2		6		920.22
22/5/2016	1		2		492.21
29/6/2016	2		5		338.62
30/1/2016	1		6		838.87
18/10/2016	2		2		413.61
12/4/2016	1		5		234.57
15/3/2016	1		3		468.45
12/6/2016	2		1		253.13
22/4/2016	1		4		46.67
26/6/2016	2		4		206.03
26/10/2016	1		4		639.40
7/6/2016	1		5		687.51
10/5/2016	2		3		435.71
4/6/2016	1		4		373.42
20/12/2016	2		5		496.90
15/8/2016	1		5		247.05
17/5/2016	2		2		87.28
22/12/2016	1		1		307.60
13/10/2016	2		2		676.76
12/12/2016	2		1		24.56
2/2/2016	1		1		175.12
24/5/2016	2		4		193.76
2/12/2016	1		5		445.26
19/4/2016	2		4		35.69
23/5/2016	1		1		824.62
14/2/2016	2		5		881.76
12/7/2016	1		2		928.04
9/3/2016	2		3		335.80
23/11/2016	1		1		192.06
5/11/2016	2		5		948.91
30/8/2016	2		2		43.55
25/11/2016	1		4		671.06
10/8/2016	1		5		684.06
1/5/2016	2		1		663.63
4/12/2016	1		5		117.01
4/10/2016	1		4		999.51
1/6/2016	2		2		32.47
8/1/2016	1		2		452.17
16/7/2016	1		4		876.28
8/2/2016	2		1		73.19
13/7/2016	1		6		754.58
15/3/2016	1		5		791.21
29/11/2016	2		1		87.85
22/11/2016	1		5		403.17
19/12/2016	2		6		678.80
30/9/2016	2		5		263.49
29/11/2016	1		2		348.37
21/7/2016	1		3		712.09
9/11/2016	2		4		340.64
24/12/2016	2		5		140.60
28/3/2016	1		6		432.81
9/7/2016	2		1		910.58
15/9/2016	1		2		90.87
19/11/2016	2		2		965.49
24/4/2016	1		6		641.74
29/11/2016	1		4		911.73
28/5/2016	2		3		563.36
17/9/2016	2		4		663.87
13/12/2016	2		4		725.58
20/4/2016	1		3		48.23
18/7/2016	2		2		624.63
25/9/2016	1		3		297.85
21/11/2016	2		6		627.53
27/8/2016	1		4		29.97
3/10/2016	1		4		329.73
9/11/2016	1		5		514.77
7/10/2016	2		4		483.91
12/12/2016	1		1		808.06
2/3/2016	2		4		647.33
5/3/2016	2		4		663.24
14/9/2016	1		2		336.30
6/6/2016	2		2		176.71
13/2/2016	1		4		340.30
15/2/2016	2		1		118.72
20/2/2016	1		4		485.19
24/8/2016	2		2		195.63
6/4/2016	1		4		764.76
27/2/2016	1		4		795.49
22/3/2016	2		5		160.12
18/3/2016	1		3		405.04
10/11/2016	1		3		675.45
27/11/2016	2		6		419.74
13/11/2016	1		2		55.83
25/10/2016	1		3		421.99
12/11/2016	2		6		90.14
15/1/2016	1		6		374.09
19/11/2016	1		2		723.45
21/3/2016	2		6		101.67
4/7/2016	1		3		390.42
2/2/2016	2		4		369.59
19/3/2016	2		2		403.06
4/6/2016	2		3		921.66
6/7/2016	1		2		139.37
27/10/2016	1		4		275.88
8/4/2016	2		1		665.13
25/10/2016	2		6		251.62
27/2/2016	1		5		849.28
12/3/2016	2		4		443.71
23/2/2016	1		4		942.00
5/12/2016	2		4		721.23
22/2/2016	1		2		307.68
10/9/2016	2		5		606.34
13/4/2016	1		3		69.09
25/11/2016	2		5		917.45
18/2/2016	1		5		578.84
19/6/2016	2		3		465.73
18/4/2016	1		2		200.53
27/9/2016	2		6		273.97
7/12/2016	2		1		54.31
27/7/2016	1		3		636.84
6/11/2016	2		2		239.05
4/9/2016	1		5		26.61
11/10/2016	1		2		554.97
13/8/2016	2		4		158.50
19/10/2016	2		5		479.53
21/11/2016	2		2		355.91
9/8/2016	1		6		388.45
5/6/2016	1		3		279.45
23/11/2016	1		4		977.53
18/4/2016	2		2		909.60
6/12/2016	1		2		790.23
15/4/2016	2		1		440.18
14/4/2016	1		6		411.18
9/1/2016	2		3		900.46
15/1/2016	2		4		786.87
5/10/2016	1		5		245.43
27/12/2016	2		5		829.83
19/10/2016	2		5		580.35
14/4/2016	1		5		417.43
2/8/2016	2		6		912.03
6/4/2016	2		5		751.23
14/2/2016	1		5		114.70
23/1/2016	2		4		999.80
15/7/2016	2		6		995.67
7/12/2016	2		6		380.26
11/4/2016	1		4		533.82
5/8/2016	2		6		49.45
2/1/2016	2		3		74.38
18/2/2016	2		5		788.09
13/11/2016	2		1		822.94
22/5/2016	1		1		610.56
1/4/2016	1		2		91.20
4/12/2016	1		2		309.06
4/10/2016	2		1		588.81
17/3/2016	2		1		65.48
15/8/2016	2		6		157.06
13/9/2016	1		4		862.56
2/5/2016	1		6		467.51
23/4/2016	2		5		155.94
3/1/2016	1		2		538.87
7/5/2016	2		3		290.34
6/2/2016	1		1		828.70
22/6/2016	2		5		418.23
13/4/2016	2		2		536.16
7/9/2016	1		5		495.53
8/12/2016	1		5		85.01
5/7/2016	2		5		501.86
4/11/2016	2		3		343.66
29/11/2016	2		1		897.92
14/7/2016	2		4		374.71
29/11/2016	1		3		681.42
1/8/2016	1		4		106.71
22/7/2016	1		3		658.48
26/9/2016	2		3		554.02
30/12/2016	2		6		753.26
18/9/2016	1		1		844.71
25/5/2016	2		5		256.84
6/4/2016	2		2		150.97
14/10/2016	1		4		747.78
8/12/2016	2		5		84.32
8/2/2016	1		1		981.65
1/4/2016	2		6		616.61
15/5/2016	1		2		812.43
2/10/2016	2		3		919.93
20/7/2016	1		6		19.21
15/5/2016	2		3		921.69
16/1/2016	2		4		584.06
27/6/2016	1		1		66.74
22/3/2016	2		1		520.60
30/5/2016	1		3		104.32
23/12/2016	2		5		419.67
25/10/2016	2		1		148.60
3/8/2016	1		3		445.70
5/1/2016	2		1		354.22
3/3/2016	1		1		685.72
11/6/2016	1		4		334.14
12/5/2016	2		6		639.97
8/8/2016	2		6		800.28
20/2/2016	1		4		382.69
23/7/2016	1		1		198.28
17/8/2016	2		5		733.22
4/10/2016	1		1		435.29
7/11/2016	2		1		251.75
13/11/2016	1		1		157.81
3/12/2016	2		5		928.71
3/9/2016	2		5		232.99
12/12/2016	1		3		683.65
22/12/2016	2		4		602.60
29/3/2016	2		1		717.81
6/9/2016	2		2		805.26
9/7/2016	1		4		944.13
26/7/2016	2		1		398.52
9/10/2016	1		6		54.89
26/1/2016	1		4		585.15
30/3/2016	2		5		910.69
28/9/2016	1		2		342.43
8/5/2016	1		1		882.00
5/5/2016	2		3		164.20
15/11/2016	1		4		292.32
8/9/2016	1		6		811.01
14/9/2016	2		5		552.02
10/1/2016	1		3		224.87
15/5/2016	2		5		538.46
1/9/2016	2		4		428.59
12/9/2016	2		2		979.29
13/8/2016	1		4		315.16
24/7/2016	2		2		147.12
26/2/2016	1		4		227.35
22/9/2016	1		6		584.74
13/12/2016	1		4		61.73
9/7/2016	2		1		934.96
9/3/2016	2		6		919.02
23/12/2016	1		3		447.61
6/1/2016	1		3		519.69
12/5/2016	2		2		932.27
9/9/2016	2		4		202.40
8/8/2016	1		2		816.35
6/9/2016	1		5		818.56
11/3/2016	2		5		53.70
6/8/2016	1		4		862.39
4/4/2016	2		6		995.16
16/5/2016	1		6		517.53
7/7/2016	1		3		228.47
30/11/2016	2		3		734.45
26/6/2016	2		2		778.62
11/8/2016	1		6		468.06
18/4/2016	2		1		939.85
28/6/2016	1		5		633.52
8/7/2016	2		1		617.65
29/8/2016	1		2		899.66
21/12/2016	2		5		677.25
18/6/2016	1		2		107.46
1/9/2016	2		3		328.67
3/9/2016	1		3		530.39
5/12/2016	1		4		821.02
28/3/2016	2		3		615.00
22/11/2016	1		4		604.10
16/1/2016	1		2		358.63
7/3/2016	2		4		566.47
6/6/2016	1		3		422.92
30/4/2016	2		3		228.39
23/12/2016	1		2		239.70
30/4/2016	1		1		944.40
21/7/2016	1		4		135.31
17/4/2016	2		5		313.71
11/11/2016	1		4		310.25
17/6/2016	1		4		819.09
10/6/2016	2		6		347.84
2/3/2016	1		2		342.78
8/2/2016	2		2		88.86
26/1/2016	1		3		723.48
1/4/2016	2		3		843.40
1/5/2016	2		1		286.11
1/5/2016	1		3		641.19
11/5/2016	1		6		869.36
21/1/2016	1		6		524.02
2/9/2016	2		2		495.74
16/1/2016	1		2		818.09
27/10/2016	1		5		323.76
9/2/2016	2		2		424.90
19/7/2016	2		3		884.06
12/6/2016	1		3		917.93
16/3/2016	2		1		320.51
16/12/2016	1		2		448.30
20/12/2016	1		6		142.59
3/1/2016	2		6		660.10
16/2/2016	1		2		885.13
17/3/2016	1		2		216.06
24/8/2016	2		4		57.71
23/1/2016	2		2		518.53
29/6/2016	1		5		329.55
21/10/2016	2		4		142.97
15/5/2016	1		6		591.69
28/6/2016	2		2		993.32
27/2/2016	2		4		292.68
12/11/2016	1		6		584.29
27/4/2016	1		2		829.65
12/9/2016	1		1		413.91
11/3/2016	2		6		877.42
29/6/2016	1		4		310.50
12/3/2016	2		2		538.05
1/9/2016	1		4		853.60
18/8/2016	2		5		207.00
19/1/2016	1		6		390.40
13/12/2016	2		2		355.48
17/8/2016	2		5		101.90
23/5/2016	2		1		267.75
9/7/2016	1		2		863.15
9/12/2016	1		3		529.25
6/5/2016	2		5		6.87
15/3/2016	1		3		389.14
20/7/2016	2		5		750.50
27/5/2016	1		3		251.25
8/6/2016	2		3		905.44
4/9/2016	1		6		803.09
22/9/2016	2		1		741.63
4/1/2016	1		1		161.37
4/11/2016	1		6		495.99
2/8/2016	2		5		408.92
1/5/2016	1		2		307.38
9/10/2016	1		5		584.09
27/2/2016	2		3		910.00
7/5/2016	1		5		496.69
11/12/2016	1		1		827.15
7/9/2016	2		4		460.26
13/11/2016	1		2		522.14
16/12/2016	1		6		981.30
16/8/2016	2		5		839.83
9/4/2016	2		1		562.70
6/8/2016	1		5		213.64
25/10/2016	1		2		111.32
5/2/2016	2		4		279.17
4/2/2016	1		5		901.99
26/4/2016	2		1		846.52
25/1/2016	2		4		125.63
21/11/2016	1		5		938.17
11/5/2016	2		4		895.76
29/3/2016	1		6		758.92
11/10/2016	1		6		965.17
11/9/2016	1		2		725.41
21/12/2016	2		1		474.01
28/1/2016	1		1		398.97
6/2/2016	2		2		168.29
20/6/2016	1		2		969.75
2/4/2016	2		1		177.11
9/4/2016	1		1		275.04
1/3/2016	2		4		769.41
6/6/2016	2		4		590.23
1/6/2016	1		5		830.01
28/1/2016	2		1		650.01
16/4/2016	1		2		530.70
10/11/2016	2		5		88.82
3/7/2016	1		1		70.17
11/12/2016	2		3		769.22
18/12/2016	1		3		755.42
26/11/2016	2		5		319.56
2/8/2016	1		4		289.77
5/11/2016	1		1		869.34
23/4/2016	2		1		185.16
4/2/2016	1		2		140.66
13/10/2016	2		1		381.51
5/8/2016	1		3		291.18
9/9/2016	1		2		445.01
23/8/2016	2		5		531.84
21/6/2016	1		3		26.65
28/11/2016	1		4		265.25
16/9/2016	2		4		239.44
26/1/2016	2		3		399.84
8/4/2016	1		2		526.06
14/6/2016	2		3		105.90
21/7/2016	1		5		695.10
1/3/2016	2		5		581.59
1/4/2016	1		2		336.43
4/2/2016	2		3		93.74
26/12/2016	2		5		201.01
24/3/2016	1		5		734.35
17/8/2016	2		5		655.30
7/8/2016	1		1		628.18
5/9/2016	1		4		123.87
25/2/2016	2		5		587.52
2/3/2016	1		2		956.06
20/9/2016	2		3		749.59
